Split_width(g),dis_b/w_rings(d),Freq [GHz],s11,vswr
1,0.6,11,-3.764650343,13.41689585
1,0.6,11.034375,-3.744741976,13.46154713
1,0.6,11.06875,-3.729449141,13.49601794
1,0.6,11.103125,-3.719185211,13.51923754
1,0.6,11.1375,-3.714170786,13.53060615
1,0.6,11.171875,-3.714478255,13.5299086
1,0.6,11.20625,-3.720085758,13.51719756
1,0.6,11.240625,-3.730944188,13.49264142
1,0.6,11.275,-3.747058748,13.45633805
1,0.6,11.309375,-3.768580959,13.40810974
1,0.6,11.34375,-3.795898913,13.34731355
1,0.6,11.378125,-3.8297063,13.27271582
1,0.6,11.4125,-3.871029592,13.18247984
1,0.6,11.446875,-3.921201733,13.07429057
1,0.6,11.48125,-3.981788201,12.94559642
1,0.6,11.515625,-4.054489057,12.7939053
1,0.6,11.55,-4.141048769,12.61705445
1,0.6,11.584375,-4.243199993,12.41339032
1,0.6,11.61875,-4.362652632,12.18183502
1,0.6,11.653125,-4.501124363,11.92185491
1,0.6,11.6875,-4.660399794,11.63337
1,0.6,11.721875,-4.842403925,11.31664496
1,0.6,11.75625,-5.049278849,10.97219256
1,0.6,11.790625,-5.283457295,10.60070639
1,0.6,11.825,-5.54773028,10.20302868
1,0.6,11.859375,-5.845307888,9.780152341
1,0.6,11.89375,-6.17987174,9.333254531
1,0.6,11.928125,-6.555614931,8.863759268
1,0.6,11.9625,-6.977259298,8.373429744
1,0.6,11.996875,-7.450028641,7.86449483
1,0.6,12.03125,-7.979535447,7.339820325
1,0.6,12.065625,-8.571498603,6.803144094
1,0.6,12.1,-9.231133121,6.259407144
1,0.6,12.134375,-9.961909024,5.71523125
1,0.6,12.16875,-10.76311923,5.179616551
1,0.6,12.203125,-11.62529732,4.664944437
1,0.6,12.2375,-12.5221581,4.188312379
1,0.6,12.271875,-13.39841618,3.772922601
1,0.6,12.30625,-14.15768685,3.448357995
1,0.6,12.340625,-14.66735288,3.247084778
1,0.6,12.375,-14.80562076,3.194631051
1,0.6,12.409375,-14.53772671,3.297078751
1,0.6,12.44375,-13.94266344,3.537167245
1,0.6,12.478125,-13.15551021,3.883472229
1,0.6,12.5125,-12.29668093,4.302959083
1,0.6,12.546875,-11.44454248,4.767985473
1,0.6,12.58125,-10.64066605,5.257694301
1,0.6,12.615625,-9.903100608,5.756952745
1,0.6,12.65,-9.236925209,6.254864279
1,0.6,12.684375,-8.640699454,6.743543055
1,0.6,12.71875,-8.110005306,7.217241552
1,0.6,12.753125,-7.639291764,7.671757101
1,0.6,12.7875,-7.222801276,8.104029176
1,0.6,12.821875,-6.8550146,8.511861167
1,0.6,12.85625,-6.530846759,8.893722639
1,0.6,12.890625,-6.2457158,9.248604303
1,0.6,12.925,-5.995547854,9.575908336
1,0.6,12.959375,-5.776751619,9.875363202
1,0.6,12.99375,-5.586179608,10.14695604
1,0.6,13.028125,-5.421085172,10.39087816
1,0.6,13.0625,-5.279079879,10.60748057
1,0.6,13.096875,-5.158093522,10.79723753
1,0.6,13.13125,-5.056337704,10.96071653
1,0.6,13.165625,-4.972273323,11.09855361
1,0.6,13.2,-4.904581901,11.21143319
1,0.6,13.234375,-4.852140518,11.30007158
1,0.6,13.26875,-4.814000068,11.36520378
1,0.6,13.303125,-4.789366479,11.40757298
1,0.6,13.3375,-4.777584586,11.42792235
1,0.6,13.371875,-4.778124341,11.42698889
1,0.6,13.40625,-4.790569079,11.40549897
1,0.6,13.440625,-4.814605574,11.36416533
1,0.6,13.475,-4.850015673,11.30368531
1,0.6,13.509375,-4.896669293,11.22474021
1,0.6,13.54375,-4.954518598,11.12799556
1,0.6,13.578125,-5.023593208,11.01410214
1,0.6,13.6125,-5.103996277,10.88369776
1,0.6,13.646875,-5.195901321,10.73740957
1,0.6,13.68125,-5.299549664,10.57585694
1,0.6,13.715625,-5.41524838,10.39965479
1,0.6,13.75,-5.54336861,10.20941732
1,0.7,0,-1.18E-08,106.0205999
1,0.7,0.034375,-0.006689458,68.28906792
1,0.7,0.06875,-0.026506891,56.32971711
1,0.7,0.103125,-0.058699025,49.42430138
1,0.7,0.1375,-0.101956481,44.62868904
1,0.7,0.171875,-0.154880996,40.99715354
1,0.7,0.20625,-0.215666931,38.12166113
1,0.7,0.240625,-0.282319165,35.78284347
1,0.7,0.275,-0.352749611,33.84874889
1,0.7,0.309375,-0.424870234,32.23349157
1,0.7,0.34375,-0.496677676,30.87775955
1,0.7,0.378125,-0.566325945,29.73863319
1,0.7,0.4125,-0.632184935,28.78383638
1,0.7,0.446875,-0.692883525,27.98828565
1,0.7,0.48125,-0.747336858,27.33191413
1,0.7,0.515625,-0.794758064,26.79824426
1,0.7,0.55,-0.834655386,26.37342218
1,0.7,0.584375,-0.866816281,26.0455494
1,0.7,0.61875,-0.891280671,25.80421298
1,0.7,0.653125,-0.908306023,25.64015245
1,0.7,0.6875,-0.918327194,25.54502283
1,0.7,0.721875,-0.92191405,25.5112263
1,0.7,0.75625,-0.919729618,25.53179298
1,0.7,0.790625,-0.912491097,25.60029664
